INFO 2025-03-26 02:25:15,658 autoreload Watching for file changes with StatReloader
INFO 2025-03-26 02:29:40,789 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:29:40,822 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:29:40,854 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:29:40,886 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:29:40,919 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:29:40,952 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:29:40,984 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:29:41,016 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:29:41,046 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:29:41,077 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:29:41,108 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:29:41,138 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:29:41,169 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:29:41,203 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:29:41,235 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:29:41,266 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:29:41,298 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:29:41,329 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:29:41,359 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:29:41,392 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:29:46,470 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:29:46,504 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:29:46,537 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:29:46,572 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:29:46,603 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:29:46,634 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:29:46,668 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:29:46,700 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:29:46,730 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:29:46,762 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:29:46,800 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:29:46,833 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:29:46,866 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:29:46,896 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:29:46,929 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:29:46,966 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:29:47,003 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:29:47,036 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:29:47,069 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:29:47,099 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:30:00,472 basehttp "GET /lab-assistant-portal/low-attendance/ HTTP/1.1" 302 0
INFO 2025-03-26 02:30:00,508 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:30:00,543 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:30:00,586 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:30:00,619 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:30:00,653 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:30:00,695 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:30:00,730 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:30:00,771 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:30:00,806 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:30:00,837 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:30:00,871 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:30:00,907 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:30:01,047 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:30:01,083 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:30:01,117 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:30:01,150 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:30:01,182 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:30:01,228 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:30:01,258 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:30:02,322 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:30:02,355 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:30:02,394 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:30:02,432 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:30:02,475 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:30:02,508 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:30:02,545 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:30:02,584 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:30:02,624 basehttp - Broken pipe from ('127.0.0.1', 54041)
INFO 2025-03-26 02:36:29,330 autoreload D:\aaaaaaattend\attendance_system\lab_assistant_portal\views.py changed, reloading.
INFO 2025-03-26 02:36:29,778 autoreload Watching for file changes with StatReloader
INFO 2025-03-26 02:37:03,695 autoreload D:\aaaaaaattend\attendance_system\lab_assistant_portal\views.py changed, reloading.
INFO 2025-03-26 02:37:04,116 autoreload Watching for file changes with StatReloader
INFO 2025-03-26 02:37:08,753 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:37:08,792 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:37:08,834 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:37:08,865 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:37:08,999 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:37:09,032 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:37:09,064 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:37:09,097 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:37:09,129 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:37:09,161 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:37:09,193 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:37:09,227 basehttp "GET /lab-assistant-portal/ HTTP/1.1" 302 0
INFO 2025-03-26 02:37:09,259 basehttp "GET / HTTP/1.1" 302 0
INFO 2025-03-26 02:37:09,296 basehttp "GET /redirect/ HTTP/1.1" 302 0
INFO 2025-03-26 02:37:09,333 basehttp - Broken pipe from ('127.0.0.1', 54456)
